steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
1612	124	1390.7842886447906	2.134826270497423	2.082985198288289	0.10898649690541164	2.289955841314905	2.0179798169227476	0.75249267	1.4436932	0.23131657540798187	0.06549195815809071	1008	0.5590440235835702
1703	131	1473.2767012119293	2.1748043106650257	2.1198679680543226	0.15569880744095685	2.425687234711435	2.0145313611613784	0.7595359	1.4439551	0.23024493224918843	0.05583836063742638	1071	0.4968286071652871
1807	139	1564.5664570331573	2.204140038484723	2.2057104163822565	0.09491799378846091	2.2967285661876895	2.060548790962469	0.75717556	1.4444795	0.2227260649204254	0.06128290794789791	1134	0.5209572087939716
1911	147	1651.377124786377	2.1671391693117927	2.1495742130002227	0.12066721778436758	2.3580516173575403	2.0271109420304034	0.7598873	1.44506	0.23786763422191143	0.0565280375815928	1197	0.3628306561393039
2002	154	1731.8831408023834	2.157463297705375	2.178369898496405	0.1445877849858889	2.3386612764227044	1.9779357519144425	0.76240844	1.4457563	0.2209791850298643	0.04421013608574867	1260	0.45937513180449985
2106	162	1821.0480802059174	2.120189077394831	2.1190301843529453	0.07392840996203247	2.205400665199515	2.008058056755564	0.75908685	1.4465503	0.21881927005946636	0.06116406575776637	1323	0.5442438594905388
2210	170	1909.3161289691925	2.141603746556169	2.152523789913825	0.11860285673893736	2.303647023964378	2.0022299618575823	0.7595156	1.4467556	0.22050772741436958	0.04555555127561092	1386	0.643994613122247
2301	177	1990.6493351459503	2.2039125756761493	2.175662717850339	0.19193268473573402	2.4074151129136165	1.9181794459195496	0.75032985	1.44696	0.21858072005212306	0.056876292312517764	1449	0.6235233606511421
2405	185	2078.676780939102	2.154715426123679	2.177180414745743	0.1450135171984026	2.3326675729744673	2.0034128124618866	0.756101	1.447173	0.23147233098745346	0.05688044467940927	1512	0.4366357227395051
2509	193	2168.4620389938354	2.1347629407461244	2.1524404400945802	0.2818382140805232	2.5060352509740027	1.8059745642353708	0.7524392	1.4473926	0.21597318686544895	0.06275863486342131	1575	0.5709209216184392
2600	200	2249.8832845687866	2.25351837731399	2.2453350720709904	0.049911112437868076	2.3163020096430564	2.183565769314102	0.7598227	1.4474934	0.22215962558984756	0.06061677016085014	1638	0.582027599807299
2704	208	2339.2543892860413	2.2458149106001004	2.249736967962319	0.18208239818307084	2.4814659378731028	2.001575797603686	0.75744265	1.4477646	0.22485533386468887	0.05067673274083063	1701	0.5418945697621772
2808	216	2430.198375940323	1.9872255819107947	2.075784826859351	0.18724881741441313	2.1302028194699	1.6869135334452359	0.7544507	1.4479882	0.2432168224453926	0.051963510792702436	1764	0.6386040315232061
2912	224	2518.067368745804	2.128368878464229	2.0872371289134044	0.09347986392275263	2.2947221853014845	2.075838363994486	0.75420094	1.4485313	0.2451914633065462	0.027116051875054836	1827	0.4544750177005471
3003	231	2600.397446155548	2.2198794773826185	2.253223092757257	0.06459079423606165	2.280486491798996	2.147474228735484	0.7518732	1.4488825	0.23096065938472748	0.05121594520285726	1890	0.5194755986828824
3107	239	2688.5970096588135	2.1771943023433824	2.1324650107141765	0.11517863252802527	2.362437537239079	2.072604420642545	0.7525604	1.4492294	0.26525756627321245	0.07331258613616227	1953	0.5964007375651348
3211	247	2777.848518848419	2.1911458980356064	2.166656726741028	0.15580664228037838	2.4445887608149817	2.023435108000947	0.7583892	1.4497641	0.24510128900408745	0.07065158510580659	2016	0.5286737154786385
3302	254	2859.1316254138947	2.216150551586888	2.2389668305574335	0.1732524589861664	2.3686727189928476	1.9481369601219947	0.7678644	1.4501841	0.25703653298318385	0.07765717225149274	2079	0.4771594175190721
3406	262	2945.2859337329865	2.063504464191883	2.087190922562231	0.12009617193891818	2.1696507387984068	1.8596568438115202	0.7647484	1.4509063	0.26069969207048416	0.03927395723760128	2142	0.5498641181080908
3510	270	3030.5873000621796	1.9334425346849557	1.9201532611180394	0.2168057072096376	2.2374708810425195	1.6984542495256618	0.77080894	1.4515544	0.21542346835136414	0.0787052226625383	2205	0.46879785640000615
3601	277	3113.5026018619537	2.146125226751102	2.1426610215501403	0.15067521141028214	2.324726930664554	1.9778739065060111	0.76854527	1.4521254	0.21759133279323578	0.08939458315260708	2268	0.6427724755534452
3705	285	3201.468677520752	2.036596406158142	1.99383543900624	0.1052796830210261	2.195686167489471	1.942130937406715	0.7717042	1.4526621	0.24577266536653042	0.05916733015328646	2331	0.49954048270140095
3809	293	3285.933571100235	2.21483586343696	2.2099947545552596	0.04192737871393897	2.267116893020638	2.153480594843268	0.7855525	1.4529974	0.21698371857404708	0.06048732227180153	2394	0.29883408666698197
3900	300	3370.4345469474792	2.22056023604371	2.204276435985226	0.09419347273162874	2.329969097831126	2.1310732065738645	0.76950526	1.4530728	0.1749034244194627	0.03412514019757509	2457	0.7125736204227826
4004	308	3461.56924200058	2.2403887740560644	2.2174624507761966	0.10959478110147715	2.3568363725646404	2.094668687749776	0.7660657	1.45304	0.20530964773148297	0.055171241797506806	2520	0.5884766845911906
4108	316	3549.1421961784363	2.0543953676641475	2.056192263227833	0.08038030990260413	2.1552105830765313	1.9323846372439748	0.76717615	1.4529335	0.22431509967893362	0.0650037138722837	2583	0.6009632582695046
4212	324	3636.3152661323547	2.0020511820515337	1.9738738821652455	0.11586904364084745	2.1328747732539544	1.857291807942211	0.7717856	1.4527205	0.23049867372959854	0.04833578787744045	2646	0.4532413937184504
4303	331	3715.5662200450897	1.9755016535290086	1.9576019867133483	0.2069028473986347	2.2045964468296315	1.7216387775149644	0.7771651	1.4526745	0.2074516438692808	0.053756854897364974	2709	0.3321002083743616
4407	339	3801.585522890091	2.144909540315933	2.084903082578844	0.12914138609243367	2.335936539626609	2.0122986764028803	0.77344006	1.4525701	0.18659614749252795	0.07683351214043796	2772	0.586900630596128
4511	347	3888.432447195053	2.1028460239348687	2.124225397387737	0.1926661074691737	2.3417109875657958	1.8478959188683945	0.76302934	1.45254	0.20017311543226243	0.038411847539246084	2835	0.6037944814359218
4602	354	3967.6302995681763	2.0669093324015004	2.060391285439769	0.17122507699592052	2.2585278654473755	1.8092700997306106	0.7628075	1.4523612	0.17546677578240633	0.060940449684858324	2898	0.6030858530444105
4706	362	4054.9530775547028	2.107649845943536	2.153624499259791	0.18285300001843874	2.2703324904958007	1.8469913114044432	0.7577954	1.4522864	0.20593143716454507	0.07609320875257254	2961	0.6173103865226486
4810	370	4141.161195755005	2.0435590383052418	2.073462574883134	0.10022616512954745	2.1532623890550995	1.8916731302537442	0.7459652	1.4524165	0.19477986477315426	0.038561696708202364	3024	0.5215700951597433
4901	377	4221.391684770584	2.0612707376194304	2.0115666742716414	0.16645353522298126	2.333608803813765	1.9007544884949237	0.7579159	1.4523227	0.17596529349684714	0.05722161091864109	3087	0.5760111893562038
5005	385	4309.47899055481	2.229712203726879	2.2332829644854333	0.14281986017387563	2.432135786455329	2.0724636071555174	0.76988757	1.4523395	0.17389893040060997	0.05950533546507358	3150	0.46747133962851106
5109	393	4394.058450222015	1.5641781645020703	1.8235075614947385	0.8299118689774365	2.1673768198656744	0.12691274237583144	0.7659332	1.4524975	0.17547268848866224	0.04149397624656558	3213	0.5065844455879378
5200	400	4471.876523733139	2.083095263898042	2.0782332596535245	0.23835589020705	2.394026932012323	1.7763797460894377	0.76121044	1.4527712	0.1985107647255063	0.06038095938041806	3276	0.37739549135612405
5304	408	4559.636667966843	2.0632691590421723	2.0154666564911476	0.16669690885343444	2.341402350416036	1.9339207355124837	0.74328005	1.4529397	0.1922725883126259	0.06756415023468434	3339	0.679966759840308
5408	416	4646.115382432938	1.8550102130479607	1.9272327855056919	0.18463709220056101	2.010713659462393	1.5553691999527997	0.7474142	1.4528176	0.18674789808690548	0.013011309020221233	3402	0.49082069160775355
5512	424	4732.881238222122	1.9175126088982306	1.961150076600913	0.32922908883663954	2.3403403246152443	1.4856000326554852	0.74075574	1.452643	0.16145611580461264	0.01199630655348301	3465	0.6703092042177374
5603	431	4811.913765668869	1.7913713518670937	1.8982946784426566	0.23840760265615285	2.0240896157941832	1.4416254002848377	0.7473981	1.452605	0.16666090223938226	0.03654496503993869	3528	0.6079830603687565
5707	439	4895.495498180389	2.078427074117261	2.06635479146072	0.08247177512969002	2.1597366878210402	1.9675090436128877	0.7570676	1.4525673	0.16141619876027108	0.024670336712151766	3591	0.3289543492518662
